@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class integer
@data
'BOGUEMU01',889,25424,6858,534,1784,2318,6726,1369,39,1433,1582,6210,2845,1284,1062,381,106,0
'BOHANET01',26,152,37,18,26,44,6,2,10,14,32,21,9,28,19,0,0,0
'BOLGEBI01',20,202,56,0,0,36,11,0,0,0,27,59,24,13,8,0,0,0
'BOLMA01',624,11698,1599,596,2051,2647,171,126,2086,451,1457,1635,665,403,226,205,43,0
'BOLSTDO01',3,21,4,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0
'BONDPH01',7,21,4,1,3,4,2,1,0,2,1,6,2,0,0,0,0,0
'BONDWA01',153,2427,873,80,209,289,177,97,34,146,360,805,329,227,174,137,41,0
'BONEYDE01',8,48,19,3,3,6,0,2,1,1,3,19,6,8,6,6,1,0
'BONHARO01',76,681,478,0,0,113,30,0,0,0,62,427,167,173,144,0,0,0
'BONNEAN01',318,7372,2199,708,1018,1726,442,346,84,450,784,1881,881,737,435,16,2,0
'BONNEMA01',82,1553,589,108,177,285,48,39,19,40,220,463,247,71,56,92,39,0
'BONSAGE01',3,9,4,0,0,2,0,0,0,0,0,8,2,0,0,0,0,0
'BOOKEME01',32,561,166,8,30,38,74,8,3,39,46,155,62,31,27,56,15,0
'BOONERO01',379,10795,5284,367,679,1046,1273,420,52,758,1020,4703,2134,1155,986,89,30,1
'BOOTHCA01',250,3587,1035,259,569,828,113,81,300,158,518,897,407,289,221,5,0,0
'BOOTHKE01',45,449,130,27,70,97,39,22,11,42,63,157,51,48,27,11,1,0
'BOOZEBO01',874,25549,12964,0,0,7119,1237,0,0,0,2489,10738,4961,3998,3042,0,0,1
'BOOZECA01',207,6413,2881,573,1350,1923,398,174,129,374,602,2211,1163,745,554,8,1,0
'BORCHCU01',83,1117,258,99,179,278,64,14,46,70,200,228,96,89,66,1,0,0
'BORNHJA01',75,0,342,0,0,0,53,0,0,0,158,414,122,146,98,0,0,0
'BORRELA01',17,167,62,14,26,40,10,6,3,6,9,63,28,11,6,3,0,0
'BORSACO01',24,0,64,0,0,24,4,0,0,0,34,74,26,18,12,0,0,0
'BORYLVI01',285,5162,3187,0,0,831,610,0,0,0,922,3200,1187,996,813,0,0,1
